Date,Consumption_m3,Total_Cost,Period_Start,Period_End
2026-05-02,0.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1970.0,2019-05-31,2022-05-31
2026-05-02,31.0,1892.0,2026-12-17,2026-12-30
